QRF Pct in range,QRF Avg length,Runtime
93.75,1.7842473917821895,95.23956426899986
96.5,1.8132331912034223,99.18762428100035
93.75,1.8332032983378754,94.82283989899952
93.25,1.792641613051596,94.73965594099991
93.0,1.7647714009565902,97.45522207300019
92.0,1.8173650347904522,94.59938179200071
92.75,1.777351609879944,95.13391038899954
94.25,1.800524442082447,94.11500814299961
94.75,1.8238736827885154,96.5921051689993
94.75,1.7535510720776475,94.44271361499978
89.0,1.7484813369527985,95.0974924409993
92.25,1.7534118729462151,94.98388057000011
92.0,1.7067114535366052,96.20152378500006
94.0,1.7962284087068172,97.56622155000059
93.0,1.6617547473600234,95.82606710900018
92.5,1.7562866652197193,96.21185372499986
91.75,1.7811708275881108,97.56905755699972
93.5,1.8132666709141825,96.54561844799991
92.0,1.7006822982883927,95.40951547500026
92.75,1.7884158016686729,97.5139076939995
92.0,1.6436216283212308,96.32358466599999
93.25,1.7955436202731605,94.7851005399998
93.25,1.7354547129922049,95.80340436999995
93.25,1.722631942689355,95.77843890700024
94.25,1.8036073255504366,96.0917211169999
94.75,1.699437505504176,95.43939921099991
95.5,1.7998736432620637,96.60381644500012
94.0,1.866724273722524,99.38937484300004
93.75,1.8040316336565092,94.90203466600087
93.0,1.6896306700681356,96.55188522999924
94.75,1.872283290895728,95.97198364799988
92.75,1.741754016770039,97.16370570599975
94.5,1.8373508240154974,94.40790559000015
91.75,1.8054559630656706,95.35754860599991
91.25,1.7616125464807058,96.1574946339997
94.25,1.7931120127841933,97.82205644100031
93.25,1.7391156771833038,96.03042253200056
95.25,1.6848069531648953,97.24924966399976
94.0,1.7002217196620706,94.01728250199994
91.0,1.8392282800773991,94.55479735799963
94.5,1.808543574728035,98.31246902500061
94.5,1.7122081755297682,95.4861821200002
94.0,1.8730522874421769,95.86930031300108
91.75,1.7586325521374824,95.28415418999975
94.75,1.7454170097486172,96.29658370099969
93.5,1.7920881679519953,95.39893126300012
91.25,1.689361131566506,94.14591759399991
93.75,1.8458991098430813,94.45506577600099
93.0,1.7451707751658352,92.40749047800091
93.75,1.6706479490163126,94.4803618599999
93.0,1.7418501999332472,93.47987179800111
93.25,1.8664461774081127,94.60681992399986
93.0,1.7779389136436337,93.95287520900092
92.0,1.689555545747663,94.47977598599937
94.0,1.7514673818702782,94.24915664299988
94.25,1.7475215978020944,94.6839885599984
95.25,1.787679547038688,95.63578468699961
90.5,1.6922128672458405,96.43714815199928
93.0,1.7262638042962897,95.9998239889992
93.25,1.7634456735353459,95.46093956500044
91.0,1.6827743183033885,94.55713928099976
92.75,1.8502667139374234,94.02557663100015
91.75,1.803476548224986,94.43468954300079
93.75,1.8452058099849815,94.63525967600071
97.0,1.8875320052869569,96.17201034999925
92.0,1.7639209986283815,94.81839568800024
93.5,1.7682816559746108,95.62242848700043
92.0,1.7770228061572015,95.8290654020002
93.5,1.7872817194708432,95.33951107899884
90.25,1.7551483537656203,95.20096378699964
95.0,1.9810927406102175,96.64545010299844
93.75,1.7049796687546155,97.13205481700061
95.0,1.8271016537203357,97.18786040899977
94.5,1.8180345144644532,97.00691424700017
91.5,1.7533688472163658,96.53706232600052
93.0,1.725621924509698,94.90739723700062
93.5,1.739632834965976,94.92948498199985
93.5,1.723020763874072,95.03358393600138
91.5,1.7670482103387752,94.10766093500024
94.25,1.7933143727692096,94.6516805680003
93.25,1.8489252300144126,95.18270698700144
94.5,1.743139611953865,95.27924275800069
93.25,1.8709047093706033,95.46514868699887
93.0,1.7515854273950289,95.57382831799987
94.5,1.8405224765309827,94.82083130899991
93.0,1.8306031594384735,93.81919234199995
94.5,1.7222401761005397,94.54038177500115
93.0,1.8383025681599252,94.32591962200058
92.75,1.7194780373535286,93.57392434400026
91.25,1.8202501251148846,94.46121279599902
93.5,1.6765158909874993,94.6771336870006
94.5,1.8176973526581777,94.65303445300015
93.5,1.862554322694399,97.05813733099967
93.0,1.93225302952525,96.70531968900104
91.5,1.8178622917188514,95.75236852300077
93.5,1.8563419857628816,95.45251049500075
93.25,1.7274860052279046,95.03075781000007
94.25,1.7846393651411268,94.61634239399973
90.75,1.7213986818145153,95.62546541700067
94.75,1.898543809322378,96.04588181899999
