CQR Pct in range,CQR Avg length,Runtime
89.25,1.4673064814576682,1.348308180999993
91.75,1.427686884002073,1.368574083999988
92.25,1.4639202796526376,1.337956317000021
91.5,1.4557095253819516,1.353271214000074
91.0,1.4609120042876595,1.3557327029999442
88.0,1.4269286329712714,1.3588762760000463
90.75,1.4393788368939169,1.3667203840000184
94.5,1.570063945066794,1.3775483089999625
93.75,1.5474853211124187,1.3540467230000104
91.0,1.412590741118325,1.352621685000031
86.25,1.3736768082525248,1.3744739090000166
92.0,1.4490264754495952,1.3596843279999575
91.25,1.4709178693557567,1.3572469920000003
93.0,1.4853040898990075,1.3637237780000078
87.25,1.4432719404729935,1.3472315700000763
89.75,1.4961097191964894,1.8204083980000405
92.5,1.490229548048072,1.351885990000028
90.5,1.4742601835874332,1.3913939960000334
89.25,1.4616443652567148,1.3599177059999192
91.0,1.4530285083331569,1.375094450000006
91.25,1.4791169099205463,1.3849959679999984
91.5,1.4709710953593946,1.3645526510000536
90.75,1.4764153844138581,1.350116565999997
91.75,1.4360880007274652,1.3654269140000679
92.25,1.495324665366696,1.3591966269999602
90.75,1.5024758199273731,1.3844949250000127
92.75,1.5446365947756564,1.3567408629999136
92.0,1.43847948240842,1.3799962779999078
90.5,1.4721819941842518,1.3629476720000184
91.0,1.444723882145592,1.36146283700009
94.75,1.5701089069667744,1.3705874300000005
90.75,1.4993253028517979,1.355338962000019
88.25,1.4589489615139706,1.3731418439999743
92.0,1.430735063303214,1.3563112079999655
92.25,1.4126394566145006,1.3349449659999664
92.0,1.4303802555870275,1.3423502310000686
95.75,1.5563580968876662,1.330682539999998
92.0,1.5190234441884303,1.3391426399999773
91.5,1.4694260021230878,1.3693786570000839
91.5,1.4432625501956609,1.3516137679999929
89.0,1.4722879339527923,1.334468286999936
92.0,1.4535501108287365,1.3649494480000612
91.0,1.5002149532582845,1.3871006780000243
91.5,1.4461640492957735,1.3603023890000259
94.75,1.5307466120356645,1.3592000310000003
93.0,1.5512429164107022,1.3376947440000322
90.5,1.46188575176334,1.3281836030000704
91.0,1.4513448880511228,1.344855252000002
92.75,1.5431676798329266,1.337868632999971
92.5,1.4852633252638952,1.3426370739999811
91.5,1.4828718630636704,1.3421936540000843
92.0,1.4183380362336206,1.3381130960000291
92.75,1.550211594754848,1.3602607479999733
94.0,1.4574122865157346,1.3426990230000229
92.5,1.5040716965612029,1.3529314879999674
92.5,1.42442218921712,1.34387255799993
87.25,1.4509417863436522,1.3495872920000238
93.75,1.5291945228988522,1.3429960130000609
92.75,1.567976767831508,1.3375448070000857
94.25,1.5204014631405938,1.339201772000024
91.25,1.490696126945157,1.3321213570000054
91.5,1.4396536602079042,1.3504110510000373
92.0,1.5149388706960514,1.332737232999989
90.75,1.4366766033762781,1.3356323939999584
92.75,1.5416394823584818,1.3217356719999316
92.0,1.4279108295172578,1.363698611000018
94.0,1.54736508668363,1.3287827269999752
88.5,1.465967469155292,1.3360242859999971
91.75,1.477738480052285,1.3502254759999914
93.0,1.5512807333456227,1.3299212919999945
92.5,1.4857745031018892,1.3506041910000022
92.25,1.4741389866571613,1.3328396189999694
92.5,1.564779320187947,1.3325268080000114
91.25,1.4162762640714166,1.3433576030000722
85.25,1.3772558441687444,1.3177715670000225
94.0,1.577471102498578,1.3487921500000084
94.25,1.4920546667031016,1.3172082789999422
91.25,1.4874475777630425,1.3281208320000815
93.75,1.5841489224505283,1.3196702850000293
87.75,1.4744457318525064,1.3685687269999107
91.5,1.4327405644009639,1.3429392320000488
90.75,1.437391331616891,1.329269887999999
89.75,1.4373376173620154,1.32944020299999
93.75,1.5503861861665298,1.3388822909998908
89.5,1.418681360301249,1.3350265080000554
94.0,1.5752126721048605,1.3793008420000206
92.25,1.4672098214080238,1.3581451879999804
89.0,1.4731778649919314,1.3875858669999843
87.25,1.4542822007958751,1.3903766510001105
89.75,1.4379913592780866,1.3614933380000593
93.5,1.5944112266917378,1.364667891999943
92.25,1.479414866749058,1.3540279359999658
