CQR Pct in range,CQR Avg length,Runtime
92.25,1.5442316766378332,1.6550719370000024
88.75,1.5265438059646104,1.623431657999845
92.5,1.5448676162499055,1.6502465630001097
92.25,1.616542561309771,1.610962198999914
92.25,1.5162347181723874,1.627344629000163
93.0,1.4910163635367508,1.6308999799998674
89.75,1.5440131873217808,1.6232257209999261
91.0,1.5857038425268974,1.6310911380001016
92.75,1.5288227829999057,1.6173221580002064
91.0,1.5831395505546784,1.6097633560000304
90.75,1.566661976684971,1.6227237269999932
90.25,1.5793909363002967,1.589121951999914
92.25,1.5100282088098624,1.623148110000102
89.75,1.4951088997038167,1.5949055999999473
90.25,1.5853225923535539,1.6076762060001784
93.5,1.6803100487061986,1.6144017169999643
89.25,1.5201868616717769,1.6181742660000964
92.0,1.5375943645875714,1.6148917329999222
90.25,1.555814690583456,1.596342912999944
90.75,1.5559311985258204,1.5917786739998974
91.0,1.5957566878915992,1.603753387000097
92.5,1.5147232456130155,1.6011826960000235
92.0,1.6402906536650548,1.6226173119998748
92.75,1.5771653805436885,1.6048268429999553
91.0,1.53979706900681,1.6222774080001727
91.25,1.5876272481891878,1.6112632310000663
91.25,1.5284426896817362,1.5998886370000491
92.25,1.5239043916735846,1.5985836530001052
94.0,1.644907176054315,1.6254934139999477
89.75,1.5017538187487036,1.6377307660000042
90.75,1.5549443253606936,1.6080962920000275
91.0,1.576325150287819,1.5974936600000547
91.0,1.5206383193479838,1.6083637409999483
90.0,1.5971901206132244,1.620521085000064
90.25,1.558175942470871,1.589722017999975
91.75,1.5640594794796499,1.6281750519999605
92.0,1.5174294425204014,1.6208633989999726
90.75,1.5924960195970572,1.620449330999918
90.75,1.5475294866892784,1.6236922310001773
92.0,1.5654417660462234,1.6032199740002397
92.25,1.546391897584815,1.6153025720000187
93.25,1.634807414678308,1.6142293050002081
94.0,1.6611159431314746,1.606780451999839
93.0,1.57840886530146,1.6288413620000028
92.0,1.5754346007847644,1.6050190400001156
92.25,1.539560563326554,1.6156101839997064
90.75,1.5417646767143418,1.6206964729999527
92.25,1.5640651414529025,1.6125848930000757
92.5,1.5454138383441236,1.6071216410000488
92.75,1.5257142195205273,1.636523532999945
92.75,1.5425355652568031,1.6325726430000032
91.25,1.6035845827392088,1.6307123599999613
93.25,1.6268507389452356,1.627758726999673
92.0,1.5001162184633308,1.6293515570000636
92.25,1.523675953964405,1.6262965659998372
93.0,1.5609168459851634,1.6149730079996516
93.75,1.6871674388055495,1.6046258329997727
93.75,1.6634580209800678,1.5991114140001628
92.5,1.5087964039031185,1.6209346580003512
91.25,1.567697960217928,1.6354948180000974
90.75,1.6031143077731513,1.6088090240000383
89.25,1.504887349917106,1.6432266039996648
92.5,1.5904121861675768,1.6342944749999333
93.5,1.6423643673043409,1.5982552929999656
92.25,1.568240085014931,1.6248858759995528
89.5,1.5453063642839675,1.6059781330000078
87.75,1.4399311968779063,1.6107756930000505
93.25,1.6877852400644275,1.602958695000325
90.0,1.535566188168407,1.6061831289998736
94.25,1.6764880841990653,1.6069831479999266
95.75,1.6764431313768489,1.6264881520000927
94.0,1.6388408170548745,1.622052483999596
91.75,1.5075486880687878,1.61929537099968
90.5,1.589366871771307,1.6236470059998283
93.0,1.5494878030277843,1.603131951999785
91.25,1.5391422371523185,1.6174707000000126
90.75,1.5615523327762284,1.6032629540000016
89.5,1.5383368567308238,1.585345254999993
92.5,1.568105476844966,1.607593998000084
89.5,1.5301799294364895,1.618012952999834
89.0,1.471107807665158,1.618816156000321
92.0,1.5919499859556268,1.6027949180001997
88.0,1.4793490016443003,1.6082415209998544
91.25,1.5257898925747388,1.5968564579998201
90.25,1.624498668387991,1.6047760110000127
92.25,1.5868146692832346,1.6087197800002286
93.0,1.5902998457561681,1.5875617929996224
88.5,1.512148496365084,1.6129593430000568
92.5,1.5852079891194206,1.5755903230001422
91.75,1.52927799315874,1.6020992070002649
92.25,1.5468874282816347,1.5999774870001602
93.5,1.6412861443283728,1.6112733830000252
91.0,1.565612364720872,1.6185859389997859
95.25,1.7287769969596862,1.5908695630000693
93.5,1.6348182725960145,1.6016576030001488
89.75,1.5433748014324744,1.585134982999989
90.0,1.556413663914964,1.5893612390000271
93.5,1.6436809027358015,1.6051620519997414
93.5,1.6352068460070472,1.5798403070002678
91.25,1.5555023274545752,1.6277968040003543
92.0,1.5527848712024803,1.6257126369996513
92.0,1.498103089127618,1.5944975020001948
92.0,1.555109179834033,1.6037863280002966
88.75,1.4449548507279582,1.6176083079999444
87.75,1.488136754389918,1.6012710730001345
92.0,1.5530148262375052,1.619110227999954
92.5,1.5640167367540818,1.5990079349999178
92.5,1.570381606279498,1.603764518999924
91.75,1.5882158003915734,1.6018752109998786
91.75,1.5426365921184755,1.5822231510001075
89.5,1.5679832918125123,1.5956881390002309
90.5,1.5930816015837126,1.5965088200000537
92.5,1.5665256964944934,1.6270490779998
93.0,1.5403060398767405,1.6058350559997052
90.5,1.6368946357993621,1.59027516299966
90.5,1.5734722412067799,1.6158482770001683
92.0,1.5689824177029619,1.5892798340000809
92.75,1.5555215578216406,1.6496645719998924
91.0,1.5626011849818218,1.5939000489997852
94.0,1.6148582933790059,1.6195565960001659
92.25,1.5622997668763696,1.5856138369999826
90.5,1.5358356686905454,1.619269544999952
90.25,1.5812829600219558,1.5971063229999345
92.25,1.5711619194102662,1.5979701900000691
90.75,1.538890540874528,1.6103383059999032
92.0,1.5890079026478332,1.5941427449997718
92.0,1.542770453483945,1.5937983150001855
92.5,1.5551260167730634,1.6032029520001743
93.75,1.6627742184408345,1.610329246999754
92.25,1.5927562127189459,1.6021005309999055
90.25,1.5591466327627996,1.6037658360000933
92.5,1.4659068367079402,1.5876283399998101
91.0,1.562239610243978,1.5817719409997153
89.75,1.5065259648651033,1.5917899220003164
90.5,1.562082355262179,1.59283229499988
87.25,1.5037177904529677,1.5946356879999257
91.25,1.5774513275846074,1.5933746559999236
93.25,1.686484895783372,1.60245596499999
90.25,1.5234209496957243,1.60587802200007
92.5,1.5196211348611814,1.5850491520000105
91.25,1.545634844072559,1.6066473529999712
90.0,1.5568769632799029,1.5817599350002638
90.5,1.5870225663307942,1.6106792809996477
92.5,1.5593018481751328,1.5934216099999503
93.0,1.5394199977885892,1.603456787000141
92.5,1.6300693232973982,1.6090137870000945
91.75,1.5466247509717386,1.5977219780002088
88.0,1.4706367016494313,1.623263286999645
89.75,1.501132766099494,1.6261961390000579
94.25,1.61390944576069,1.5923817890002283
93.5,1.662174113410043,1.604266429999825
93.0,1.514341615404283,1.5916173549999257
94.0,1.6334992748119168,1.6123867840001367
93.25,1.6410916719983715,1.6189481549999982
90.25,1.5723849407933221,1.6036741149996487
92.5,1.5908049648638292,1.6107493649997195
88.5,1.4861062436258252,1.5862956300002224
92.5,1.586911179704361,1.5833958379998876
93.5,1.6590438188256753,1.6137904860001981
92.5,1.521034883544151,1.5903616360001251
93.0,1.57347377723942,1.599454625999897
89.25,1.5871345784740867,1.5973104810000223
91.75,1.5901017552102343,1.6110711470000751
92.25,1.5312913215878303,1.63077543899999
88.75,1.5055262587170086,1.6066187090000312
93.5,1.6274932656693437,1.6060359529997186
91.0,1.515187419979805,1.5925232520003192
92.5,1.584009358135936,1.6112173430001349
92.75,1.5737731380963016,1.589945374999843
89.75,1.4864485988806695,1.6204927469998438
91.25,1.5467566104535118,1.6081065149996903
92.25,1.5692907309304291,1.5933561669999108
92.5,1.6088522698208252,1.623708113000248
93.25,1.6289880504108862,1.5986994400000185
91.0,1.5618900964678044,1.6033620330003941
91.25,1.5648139162883172,1.603905980000036
90.5,1.6109013146547557,1.6201653009998154
93.0,1.539015445919759,1.6149732550002227
90.75,1.5309555295195185,1.597327567999855
91.25,1.5983258748197786,1.5965953760000957
87.75,1.4998599445885015,1.5912329010002395
91.25,1.585385707756501,1.5937668020001183
92.5,1.5531512710266258,1.6074414770000658
93.0,1.5245677044451178,1.6266476310001963
90.25,1.561904673190805,1.5958504169998378
89.5,1.5173979285393042,1.6098470039996755
91.0,1.5921793557773611,1.6077500520000285
92.25,1.571215924079768,1.5932858599999236
94.5,1.676159896294674,1.6160322359996826
94.75,1.6792988621902152,1.5863326070002586
91.25,1.568573450312814,1.6047665570004028
90.25,1.5715516881417506,1.6246340339998824
88.0,1.4834719573154418,1.6238884700001108
93.0,1.5701969495114028,1.6181515590001254
92.0,1.5802338824442537,1.5954773290000048
92.5,1.5577448048721965,1.6096431629998733
92.25,1.631998759536449,1.5923710070001107
90.5,1.536962842541655,1.5997757959999035
93.75,1.608245399288225,1.601994612999988
88.5,1.4674636325583978,1.6118841200000134
95.25,1.7240702578369145,1.611401621999903
91.75,1.5381891564990195,1.6015520079999988
94.0,1.6435138566991834,1.6076408640001318
93.75,1.619836507743164,1.62152450900021
90.25,1.5242776428941298,1.5935682399999678
88.0,1.4670261969705138,1.6115717600000607
93.75,1.625578476690792,1.6024817819998134
93.0,1.6009210267381122,1.6014015430000654
92.25,1.5198043183470964,1.6017234410001038
92.25,1.527804437874097,1.6195206309998866
89.75,1.5311816877065703,1.6106360480002877
92.0,1.526764542069335,1.6251016120004351
90.75,1.560786494460342,1.5958418089999213
90.0,1.524935156577343,1.6012177040001916
92.5,1.6005394480637916,1.623550580999563
92.75,1.5490929257629125,1.5971150270002
