CQR Pct in range,CQR Avg length,Runtime,QRF Pct in range,QRF Avg length
89.64,2.0944899432281736,21.793175310000038,89.16,3.1702293261166754
92.24,2.112450352308141,22.982072156999948,91.4,2.4372939254219093
92.17999999999999,2.142528949081841,24.79825809500005,91.58,2.39863355920128
92.52,2.1417579632805466,23.917376838999985,90.53999999999999,2.428548416057175
88.94,2.084834172861946,24.61252277599999,89.8,2.279747049405499
92.17999999999999,2.1409251353656313,22.793363570999986,90.4,2.3923824469350263
93.17999999999999,2.154545135997304,22.756949911999982,91.25999999999999,2.601513406614399
90.86,2.112032292847158,22.62472791999994,89.94,2.353257903835924
90.08,2.059216022222967,22.56263911999997,89.36,2.2874576051503626
89.66,2.077259976788693,22.725730275999922,90.4,2.4211054882693257
93.14,2.1315052949113844,20.854796053999962,91.02,2.439986867494214
92.25999999999999,2.1084219124045163,20.866926147000072,90.64,2.3568957692614045
91.28,2.101820343777808,20.92641856499995,90.3,2.7240329315160916
91.38,2.1310877335950686,20.829954377000035,90.52,2.40442509224608
92.97999999999999,2.158721881949746,20.800124548999975,91.72,2.3992275546500283
91.4,2.125553663319742,22.115970006999987,91.0,2.397987264628042
92.02,2.136619802674964,22.029299111,90.82000000000001,2.639077146783705
91.38,2.0931958512083186,22.00333242299996,90.64,2.4102006640108646
92.72,2.1666895526852024,22.01283922499988,91.56,2.4507645029941942
89.78,2.0830784858677536,20.89439659499999,89.98,2.318691054161762
90.42,2.0906721404954314,22.22327200599989,90.60000000000001,2.493303144510347
91.38,2.0983212981206014,22.28913363400011,90.7,2.5801474850782826
88.75999999999999,2.069812914835679,23.714163218000067,90.02,2.3589801411136024
90.60000000000001,2.0958458348422395,23.616049491000012,90.14,2.334373911147986
90.24,2.1174607478202336,23.705892291000055,89.75999999999999,2.4051507358245012
91.42,2.118570289145026,25.115034728999944,90.78,2.4098328375447164
91.67999999999999,2.076335246342686,23.6752315130002,91.08000000000001,2.399679355575411
90.88000000000001,2.0953805876098426,23.722442627999953,90.44,2.37127818437896
92.64,2.1262985805856305,23.73854816999983,91.25999999999999,2.5152615074169127
90.5,2.1027409977653466,22.41815098400002,90.24,2.2934346901984966
91.18,2.105545072024118,22.34949520500004,90.84,2.3384063918108606
91.82000000000001,2.096358661099165,21.005522836999944,90.9,2.4725247373269634
89.28,2.0499534526907626,21.10488554099993,88.96,2.277347889547311
90.92,2.1088519985165717,21.106194894000055,89.75999999999999,2.396922890930629
92.38,2.1538331024514137,21.07010279899987,90.22,2.7590789287283077
91.53999999999999,2.0975249564032543,22.35167837899985,90.2,2.3338752947989323
92.16,2.0923420062625757,21.034022701999902,91.24,2.345449436306501
90.3,2.056591864200722,21.02635701600002,90.34,2.2503450117754973
92.44,2.142932979798607,21.05921986600015,91.24,2.8789900783551823
91.84,2.0969751927281344,21.08237644100018,90.86,2.297411813253806
91.42,2.067665569632935,21.010718244000145,91.8,2.4348739961448436
89.08,2.070875250294251,22.344273364999935,89.32,2.3568059948575653
90.14,2.076283446910454,21.003114588000017,91.4,2.2638060568244187
91.72,2.1238844601217024,21.1366587550001,90.66,2.7930212183402814
91.18,2.107689788345623,21.059650102999967,91.22,2.3467278968054166
88.48,2.0594366270489397,21.045281872000032,89.34,2.2860314800494517
91.94,2.1110988506902,21.086607694000122,91.06,2.3961190937477492
91.18,2.1374907344088956,22.31343060600011,90.34,2.456146822048106
92.4,2.107954161778064,21.11805613499996,91.7,2.3457319570529673
91.16,2.097547404123193,21.076267691000112,90.64,2.598047329117682
92.08,2.1260960380661005,21.038195667999844,91.24,2.447609715716128
91.34,2.090172113865961,21.02865560200007,90.9,2.319199339956802
91.88,2.1114445198613567,22.194535189999897,90.3,2.3849723027305942
90.96,2.113062004471271,20.85503579799979,90.7,2.3770759563925643
91.18,2.0886017125847975,20.837477025999988,90.98,2.4132590403765977
91.58,2.1202657548447843,20.788058559999854,90.68,2.4161398800494855
91.0,2.086668799417036,20.79946250099988,90.06,2.3549512830119665
92.54,2.1276638025570422,20.77355388000001,90.58,2.351767618513846
92.16,2.10291685748096,22.112253748000057,91.16,2.4628341837024754
