CQR Pct in range,CQR Avg length,Runtime
91.25,1.6202515964287383,1.6426793270002236
89.75,1.5478177931269772,1.6315650559999995
90.25,1.5274723729734552,1.6177841750004518
91.5,1.6316114547294018,1.6071503780003695
91.25,1.562924914230087,1.6235455960004401
95.0,1.631751310808098,1.6009387889998834
88.5,1.5482270757725316,1.5924911229994905
89.5,1.5541101792095111,1.6094244659998367
91.75,1.5235978896448372,1.6226233119996323
90.75,1.471094667388295,1.6079824830003417
92.5,1.6191555269292257,1.6172845609999058
90.25,1.5280026467581507,1.6034744700000374
90.75,1.510710114348328,1.6107576309996148
92.0,1.5878929641028834,1.600571361999755
91.75,1.613632137452929,1.589065276999463
92.0,1.6137799495519687,1.6233991680001054
89.0,1.5616224504319893,1.6285318110003573
91.5,1.5824838657004958,1.6246928889995615
89.5,1.5340207358982303,1.6382068540006003
92.0,1.6570504062331848,1.6087393770003473
91.0,1.5061442738480366,1.60436177199972
89.0,1.5572471335225888,1.5984313560002192
94.25,1.6699582399758328,1.6258677730002091
91.0,1.5493187842679372,1.6298737289998826
90.75,1.5365874562044564,1.5916399650004678
93.25,1.6176726169112468,1.6083256510000865
93.25,1.6583711000186612,1.6193772670003455
90.5,1.5391894093665888,1.6097620689997711
91.5,1.6119420723375575,1.5981479100000797
88.75,1.532311844863409,1.6000180149994776
92.75,1.6286291456989677,1.6032165789993087
87.75,1.4818457768899216,1.6106587469994338
90.75,1.5482862491799279,1.6217198610002015
92.25,1.5315373184306795,1.6272714510005244
94.25,1.63854388610562,1.6165523459994802
93.5,1.6452305866827137,1.602897853000286
92.0,1.5992364027374655,1.6033756759998141
91.0,1.5208799899652032,1.582094022000092
91.0,1.512531878043538,1.6092265729994324
89.75,1.5509505896784452,1.6056178110002293
90.5,1.4926170475527638,1.5956849389995114
90.25,1.5559794017529756,1.6209476089998134
91.25,1.5105990889348238,1.5947571500000777
89.0,1.5484872213366527,1.6358735659996455
90.75,1.5197155255983659,1.6149596850000307
94.5,1.6289283590696317,1.6192845269997633
91.5,1.594805827911065,1.6034193750001577
90.5,1.5562450674333628,1.5898816859998988
94.5,1.595610346535137,1.6041530479997164
93.75,1.618685201173281,1.614899152000362
91.75,1.577231372148416,1.6048735170006694
92.25,1.6461429183583067,1.6218400400002793
92.5,1.6793305509858791,1.614863824999702
93.5,1.6475329579183438,1.6213906409993797
94.25,1.5980647061444042,1.626814616000047
90.5,1.5086116285150137,1.6459997390002172
90.75,1.5365513904901917,1.6017074470000807
91.25,1.5084283710699067,1.6330369360002805
93.5,1.6314702441185085,1.627315451000868
89.0,1.5531442522375871,1.6229303359996265
90.5,1.5100135137297883,1.6606349459998455
94.25,1.6539621286922113,1.6170962260002852
90.75,1.6082514173375682,1.626972762999685
92.5,1.6294013518136823,1.6291091319999396
92.0,1.609239185478132,1.6189002499995695
89.25,1.5812081675453558,1.632120675000806
90.25,1.5551187454736215,1.6108422459992653
89.5,1.5409195726651739,1.6191060430001016
92.5,1.574750630195174,1.5952683030000117
96.75,1.599601661392768,1.6144878859995515
93.75,1.626413697004474,1.6049274610004431
94.25,1.6255068681855578,1.6090515980004056
93.25,1.6552770721123795,1.6399127739996402
92.25,1.6637087004624658,1.6156636670002626
90.0,1.5389507246153602,1.6326489319999382
93.75,1.6432200696729382,1.6296095309999146
92.25,1.6148725019605434,1.6128578150000976
91.5,1.5573622325617875,1.6127422190002108
91.0,1.5579645824777542,1.614441724000244
87.0,1.5390902534977267,1.6373059429997738
90.25,1.500982093425181,1.6072352549999778
93.25,1.605534945460962,1.6289268479995371
93.75,1.6597525969373532,1.6448315059997185
89.75,1.5398575822580511,1.635153724000702
93.75,1.624518490104137,1.6199856230005025
92.25,1.5545836265911503,1.5893782819994158
91.0,1.5720495833621682,1.6036662020005679
91.75,1.5560196570994307,1.6222076919993924
91.75,1.6560984899180835,1.639946794000025
91.75,1.5839379247187082,1.6171786519998932
93.75,1.6045896438625784,1.6215683860000354
90.5,1.5638808536328244,1.670653318999939
93.25,1.6496950562628876,1.6364876819998244
91.5,1.615610068380127,1.6140445569999429
87.25,1.5203501945301685,1.6033807379999416
93.5,1.610204479091995,1.6496891090000645
92.0,1.6263015127514076,1.6272087630004535
93.75,1.6972867899552342,1.6196118249999927
93.25,1.6168706281392724,1.610014210999907
90.5,1.5569509998007336,1.6280727519997527
93.0,1.636504856887048,1.6233064799998829
92.25,1.5740905547541286,1.6329942350002966
93.5,1.6446574564232659,1.5998127439997916
92.5,1.4862758938031204,1.6204215690004276
90.25,1.5787696291665707,1.6062162099997295
90.5,1.5364911163944948,1.6248611609998989
94.25,1.678598186249278,1.6035483639998347
91.75,1.6485703498050452,1.6197374949997538
89.25,1.5686091883075906,1.6126345430002402
91.75,1.6503488559530797,1.622030126000027
93.75,1.629211772503802,1.6237503289994493
89.0,1.60261442159691,1.6051048979998086
89.75,1.5966376702688478,1.6188451340003667
92.5,1.5673667402121865,1.5741149519999453
93.25,1.622907692330146,1.6343052309994164
92.5,1.6520022093664237,1.6057691500000146
92.0,1.5936779170182036,1.602127967999877
91.25,1.5389830509276663,1.6084749589999774
90.25,1.5580194381029724,1.592330382
94.25,1.6143736654035705,1.6416440709999733
90.5,1.5385157450494904,1.5869161470000108
90.75,1.5116057093869029,1.596078528000362
91.75,1.6210446343200726,1.612528444000418
92.25,1.6172457454593694,1.6133428089997324
90.25,1.555579051853882,1.6224206570004753
93.25,1.5827335820199426,1.6466430989994478
91.5,1.626127693956949,1.6273033799998302
90.5,1.5451082342955502,1.6155303649993584
90.75,1.5169803329855693,1.623094354999921
89.0,1.5602265989672575,1.6049806179998996
94.5,1.6493113284305059,1.60160159499992
94.5,1.5921172199370812,1.6314493989993935
92.0,1.6161260899417333,1.6086800050006786
89.75,1.5495897474216072,1.626861855000243
94.0,1.5921460522640973,1.6285888869997507
92.0,1.6171303491845053,1.600326621000022
94.0,1.696448544815683,1.6213540029993965
89.5,1.569120802148463,1.6166030740005226
91.75,1.5591660402225593,1.6299379170004613
90.75,1.5497921465424453,1.5944260020005459
90.5,1.5400659118305058,1.6216233670002111
