CQR Pct in range,CQR Avg length,Runtime
91.5,1.707519004693827,1.651566399999865
90.25,1.6846005884149131,1.6134283770006732
94.75,1.8061611672218607,1.6243662220003898
89.0,1.5933197340877598,1.6089023759996053
90.75,1.7059499261762918,1.6120755820011254
89.0,1.6367009116143305,1.619644356000208
91.25,1.714833771822251,1.5917290969991882
89.25,1.6092596127971592,1.630980225996609
94.25,1.7765680478501331,1.605881325001974
91.0,1.684624307753988,1.6066614650007978
93.5,1.782436871961633,1.6340120870008832
92.75,1.665960982082213,1.617779216998315
89.75,1.6251043382720542,1.60774893299822
85.75,1.5177391053392721,1.6086213320013485
91.5,1.7211581282319188,1.6114465270002256
90.5,1.6989087683749002,1.6284369109998806
92.25,1.6819171000702036,1.595860551999067
90.0,1.6489584146268788,1.6262656780018006
92.75,1.7368643721484807,1.6016453800002637
92.25,1.7372089337196908,1.6306047010002658
90.75,1.660570495927647,1.593716098999721
90.75,1.685667502323827,1.6172972550011764
91.0,1.705023187495059,1.5891623199968308
92.5,1.708513153215795,1.6218944049978745
89.25,1.6715726591208215,1.5981736930007173
92.5,1.703096453557934,1.6222497390008357
90.25,1.6786317589230717,1.5920304050014238
92.75,1.7424008813232001,1.6360601209999004
92.75,1.7169278021688938,1.6173724750005931
91.5,1.7015899442018403,1.6175351370002318
91.75,1.6994755135156427,1.598932094999327
90.75,1.705828141298918,1.6009050909997313
89.75,1.6578157766045154,1.5984417170002416
92.75,1.6826450815716234,1.6434211669984506
91.0,1.6877526948719508,1.620278607999353
90.75,1.7542064338856322,1.630421074001788
90.25,1.7343434545495484,1.620739826001227
90.75,1.7061728562462297,1.6190520469972398
90.25,1.6854979346717096,1.630548858000111
91.0,1.6773945920750135,1.5874613230007526
92.5,1.7106731842137446,1.6243281780007237
90.75,1.716992455187258,1.601779135002289
90.5,1.682237689384292,1.6152154750016052
91.75,1.715618850907246,1.5922848680020252
90.25,1.677116178278627,1.6063913290017808
87.25,1.6056941096298203,1.5974034599967126
93.5,1.763905031719774,1.636128573998576
93.25,1.7719081280923599,1.5962313510026434
91.25,1.723106003707868,1.599267185003555
92.5,1.6860780567662585,1.6079325850005262
93.0,1.6594587420939308,1.5927803400008997
92.25,1.6566569680471988,1.6199208090001775
85.75,1.532393359465059,1.616740942998149
90.0,1.6049815755456869,1.5907402820012067
92.25,1.679389554054058,1.6204858829987643
91.5,1.72006007371547,1.8778481900008046
94.25,1.7729624295483737,2.3340165720001096
90.25,1.6929169984376466,1.9742489570016915
89.75,1.640974745069515,1.613800221002748
91.5,1.680769667337168,1.6116881300004025
92.75,1.684503175532289,1.6189661259995773
89.75,1.6379139116107364,1.5908275700021477
94.25,1.7967076011187602,1.6001196409997647
92.25,1.7050633985843706,1.5959464829975332
89.25,1.6430864392106195,1.6231677389987453
89.75,1.6588983870458838,1.608299730996805
88.25,1.6233403291789736,1.6311020289977023
91.75,1.6636913526150159,1.6038317079983244
92.5,1.7387878853487961,1.6227914999981294
90.75,1.7139261827449896,1.6050969899988559
94.0,1.7965427330702761,1.624098229000083
90.75,1.6879024027118619,1.626761876999808
91.0,1.7428462285358624,1.6196878470000229
92.5,1.760463579077011,1.6269383789986023
90.75,1.6874520810863247,1.6040584619986475
90.25,1.7045916860909904,1.6038771019993874
92.5,1.703050268401114,1.595526017001248
94.5,1.8183823841957483,1.6247381799985305
89.0,1.5899737480585237,1.6139878440008033
92.0,1.7468223789234363,1.610658613000851
92.5,1.700289696150781,1.6283638599998085
90.25,1.744516815052011,1.5920457540014468
89.0,1.5993546576905737,1.6070266970018565
87.75,1.6485084306023714,1.6385529530016356
90.75,1.6649593679047405,1.6185442540008808
91.75,1.6962477676974885,1.5767824069989729
88.5,1.6366718542313814,1.6326903409972147
90.0,1.62740351329252,1.6177140870022413
92.25,1.7141320050461213,1.6215283130004536
91.5,1.7301095876544417,1.6049020450009266
90.0,1.7014055644504815,1.6181285880011274
91.25,1.6873951548402821,1.6168831309987581
89.25,1.591240118156351,1.6153299280013016
93.5,1.7586198792298382,1.6193270869989647
93.0,1.679128091778715,1.6067755880030745
90.5,1.6446184067311165,1.6162125119990378
89.0,1.6028713625831281,1.621577227000671
91.0,1.700851945272085,1.6097580360001302
88.5,1.631167918964386,1.6066859230013506
90.0,1.6018495422440708,1.6087831250006275
92.75,1.7218687062386087,1.6077309169995715
89.75,1.6200446847640666,1.6300330880003457
93.5,1.815080099444761,1.5949759569994058
91.0,1.7012623943714835,1.6027580390000367
90.5,1.7683375178765852,1.6100692200016056
92.25,1.6990772343599005,1.5934736800008977
91.75,1.7139967160657201,1.6150573099985195
90.25,1.7344422599079998,1.621828772000299
89.0,1.6627699543913799,1.6212267860028078
91.0,1.7465550099847957,1.6325546560001385
91.75,1.7199488421762885,1.6208005210028205
91.75,1.6730273389408408,1.6029878929984989
91.75,1.7386163888742956,1.6254468289989745
90.75,1.711924980054427,1.5790991829999257
93.5,1.8301206217910682,1.6180327080001007
92.75,1.7536940433036403,1.5930692209985864
93.25,1.7771967765531285,1.611927903999458
90.25,1.7111710997894887,1.6105775859978166
89.25,1.6209461048649394,1.6208971349988133
91.75,1.7219135256406752,1.61088150499927
89.0,1.5977412115495133,1.610680202000367
90.0,1.7041690701397316,1.6158812050016422
93.0,1.7212139265302207,1.608965358002024
