CQR Pct in range,CQR Avg length,Runtime
91.75,1.638937799462102,1.6909539490006864
91.75,1.706349073513665,1.6353160769995156
92.25,1.6462709587221525,1.605121828000847
94.0,1.752387669790445,1.6265983640005288
91.75,1.547724333087341,1.5994479780001711
93.0,1.650323482536561,1.621529198000644
93.5,1.7606214954553092,1.6327660280003329
92.5,1.6069783183678554,1.5939808359999006
92.0,1.6921965349494763,1.6280914660001145
92.25,1.6401270094651739,1.6000474210013635
91.75,1.6333548289063484,1.6267037480010913
91.25,1.5668140714519398,1.6177647069998784
91.0,1.6351912249522298,1.6188533249987813
92.25,1.6666467745933726,1.6235653500007174
92.5,1.676785027865248,1.6254486470006668
92.0,1.6143135440882026,1.6251476270008425
91.25,1.6767173935511714,1.613858591999815
90.75,1.5754317271864369,1.6057847379997838
93.0,1.6504191257878573,1.6106879210001352
91.25,1.6188465720167569,1.626461391999328
90.75,1.6169088424341231,1.6261415600001783
91.75,1.6939855632080951,1.5986553879993153
92.25,1.665199235586881,1.6177325560001918
90.5,1.6198538379638314,1.593857009000203
92.75,1.6293313152577986,1.6196244789989578
92.5,1.6467213337695528,1.6108177789992624
91.25,1.663850624291309,1.6192200050008978
94.25,1.7220912018910803,1.6229339599995
91.75,1.6400284862809442,1.6198241880010755
92.5,1.600132779470681,1.6426892840008804
91.75,1.6512309142885135,1.5976356520004629
90.75,1.6982198242899176,1.6348879319994012
91.0,1.595270579652163,1.6375111670004117
93.0,1.638205385562797,1.6160120530003041
91.75,1.7333782638715178,1.628735083999345
93.0,1.631328072039679,1.606324067000969
92.0,1.6105235851937858,1.6158955840001
94.5,1.6837238708258968,1.6036631330007367
93.0,1.605732150351624,1.6089010329997109
93.0,1.626904712569359,1.6176978169987706
91.5,1.6158219906622093,1.6290913920001913
92.0,1.6743496824874342,1.6109753629989427
93.0,1.5856945818489576,1.6194873889999144
90.75,1.6831768418439532,1.6139970640015235
91.5,1.553077376900741,1.6340546530009306
90.5,1.6363829623490966,1.6390383390007628
92.0,1.598588148032248,1.591208560999803
91.75,1.5531172924643164,1.6253344279994053
91.0,1.6717509307926521,1.620071536000978
91.75,1.5987883730759447,1.6243928669991874
91.5,1.6097516619909502,1.661304814999312
90.75,1.5612034394988172,1.6050830259991926
90.5,1.6595325893305468,1.601013340999998
92.75,1.5788042695940891,1.595310194999911
92.0,1.5995345816411837,1.6118316520005465
92.25,1.6624784237750618,1.626917200999742
92.25,1.6348070610967198,1.5928076000000146
92.0,1.6391414124697423,1.6068236800001614
91.5,1.6106059629988345,1.6196978309999395
93.75,1.7219385706080623,1.5934369419992436
91.75,1.631442130930459,1.623269125000661
93.0,1.6074984189993862,1.6197549140015326
92.25,1.5727403471253985,1.6200411830013763
91.5,1.663153216344958,1.847858750999876
91.25,1.5707596467885037,1.908104526999523
93.25,1.6572357614001345,2.0954413380004553
91.0,1.6775334137175095,1.6171890690002328
91.0,1.6392611233078236,1.6092650419996062
89.5,1.6295740899909987,1.8588070679998054
93.25,1.6520217569687963,1.859383416998753
90.75,1.6246001082397306,1.6392382499998348
92.0,1.623113814521701,1.5926701200005482
91.25,1.6521471211939758,1.6123462900013692
92.25,1.7368148274759903,1.5848758060001273
91.5,1.6174749897635388,1.6288795189993834
91.75,1.6105745252561008,1.6144635410000774
93.25,1.6750374562735098,1.604770121999536
92.75,1.5958899003140627,1.6127331700008654
90.5,1.5590866316748333,1.6181658410005184
92.5,1.6039833181051009,1.62697479399867
92.5,1.6374339961807476,1.6105558689996542
91.0,1.6372082207012366,1.6084832460001053
91.5,1.6200305117850673,1.6300767399989127
91.75,1.5806706206692172,1.612304498999947
92.25,1.6295690040456936,1.6768058039997413
92.75,1.540581856882645,1.6115360200001305
94.5,1.7962602993084391,1.6338795459996618
91.75,1.5968896343777272,1.6084420450006292
93.0,1.6171313852401574,1.6499428839997563
93.0,1.6587894085159467,1.590964292998251
92.0,1.6246085066328815,1.6362556439999025
90.25,1.61588553445375,1.6405902129990864
92.25,1.6043815010149194,1.6481421179996687
90.0,1.6370453204646855,1.6327483519999078
91.0,1.595062069546518,1.6255909690007684
94.0,1.7580809945757927,1.6002565210001194
96.0,1.6610615886531013,1.6188271779992647
92.5,1.7165197525143419,1.598435394000262
91.25,1.6525292116099342,1.6194439680002688
93.5,1.6237088471679,1.610015239999484
91.5,1.6585583779628805,1.6216330110000854
92.5,1.6410516144210825,1.6068744299991522
90.0,1.6302080774171401,1.5936343619996478
92.5,1.6076474656396817,1.6130046899997978
92.75,1.639984242649682,1.6326353370004654
91.75,1.5898898764311418,1.608469917999173
